Age_Group,Gender,City_Type,Region,Occupation,Education,Income,Last_Purchase,Yearly_Purchases,Annual_Spend,Western_Frequency,Primary_Channel,Style,Fitness,Top_Factor,Occasion,Product_Interest,Bundle_Interest,Avg_Price,Too_Cheap,Acceptable,Too_Expensive,Trendiness,Quality_Pref,Identity_Expression,Peer_Influence,Aspirational,New_Brand_Open,Sustainability,COD_Preference,Concern,Loyalty_Offer,Brand,Switch_Reason,Discount_Type,Purchase_Intent
Under 18,Non-binary,Rural,Central,Private,Diploma,15-30k,3-6m,20+,30-60k,Rare,Instagram,Casual,Occasional,Price,Party,Co-ord,Maybe,>7000,900-1200,3000-4000,>6000,2,5,2,4,4,2,2,No preference,Returns,Free Gift,Uniqlo,Quality,Free Shipping,Moderate
41–50,Non-binary,Rural,North,Government,Graduate,>1L,>6m,7-12,<5k,Weekly,Amazon,Casual,3-4x,Quality,College,Co-ord,Maybe,500-1000,600-900,1300-2000,>6000,2,2,3,4,1,5,3,No,Returns,Referral,Newme,Price,Bundle,Neutral
33–40,Non-binary,Metro,North-East,Student,School,60k-1L,<7d,7-12,<5k,Rare,Myntra,Ethnic,3-4x,Brand,Festive,Cargo,Yes,>7000,<300,500-800,>4000,1,4,3,5,4,3,3,Always,None,Referral,Bonkers,Service,Bundle,Low
33–40,Prefer not to say,Tier-3,West,Business,Graduate,NA,<7d,1-3,>1L,Rare,Nykaa,Ethnic,Daily,Trend,Festive,Graphic,Yes,4000-7000,900-1200,1300-2000,>6000,1,4,5,3,4,5,3,No,Returns,Free Gift,None,Service,Flat,Moderate
33–40,Male,Metro,North,Student,Postgraduate,>1L,<7d,4-6,30-60k,Rare,Myntra,Smart,No,Sustainability,College,Sneakers,No,500-1000,1200-1500,3000-4000,>4000,4,5,1,5,4,1,3,Always,Returns,None,None,Recommendation,Flat,Moderate
41–50,Female,Rural,North,Business,Diploma,30-60k,1-3m,1-3,5-15k,Weekly,Ajio,Ethnic,Occasional,Sustainability,None,Graphic,No,<500,600-900,3000-4000,>1500,4,3,1,3,4,1,2,Always,Quality,Early Access,Roadster,Recommendation,Free Shipping,None
33–40,Male,Tier-3,Central,Student,Graduate,15-30k,3-6m,4-6,<5k,Monthly,Meesho,Ethnic,Occasional,Brand,None,Graphic,Yes,4000-7000,600-900,800-1300,>2000,1,3,2,4,3,4,3,Always,No online,Referral,Bonkers,Service,Bundle,Moderate
50+,Female,Tier-2,North,Unemployed,School,30-60k,1-3m,7-12,60k-1L,Rare,Nykaa,Casual,Daily,Brand,None,Athleisure,Yes,>7000,<300,2000-3000,>6000,4,2,4,5,4,2,2,No,No online,None,Uniqlo,Quality,Bundle,High
41–50,Prefer not to say,Tier-3,South,Government,Diploma,>1L,8-30d,20+,60k-1L,Monthly,Nykaa,Smart,No,Price,Daily,Cargo,No,1000-2000,300-600,1300-2000,>6000,2,4,5,3,2,3,3,No preference,Delivery,Free Gift,Roadster,Service,Scratch,None
33–40,Prefer not to say,Rural,South,Government,Postgraduate,60k-1L,>6m,13-20,30-60k,Monthly,Meesho,Formal,Daily,Comfort,Sale,Cargo,Maybe,1000-2000,600-900,500-800,>1500,1,4,2,2,2,2,3,First time,Delivery,Referral,Zara,Recommendation,Free Shipping,None
50+,Prefer not to say,Tier-3,East,Student,Diploma,>1L,1-3m,7-12,5-15k,Quarterly,Myntra,Ethnic,Occasional,Sustainability,Festive,Co-ord,Yes,1000-2000,300-600,3000-4000,>6000,3,4,3,2,4,1,5,First time,Sizing,None,Uniqlo,Quality,Flat,Neutral
25–32,Prefer not to say,Metro,Central,Unemployed,Postgraduate,60k-1L,1-3m,4-6,30-60k,Quarterly,Ajio,Athleisure,Occasional,Comfort,College,Graphic,Yes,>7000,900-1200,1300-2000,>1500,1,1,5,5,2,3,4,No,Delivery,Points,None,Price,Scratch,Neutral
33–40,Female,Tier-2,North-East,Private,Diploma,60k-1L,>6m,1-3,<5k,Monthly,Nykaa,Ethnic,3-4x,Sustainability,Party,Sneakers,Maybe,2000-4000,600-900,2000-3000,>4000,5,3,3,1,3,4,1,No,No online,Birthday,H&M,Recommendation,Free Shipping,High
41–50,Non-binary,Tier-2,East,Government,Graduate,<15k,<7d,7-12,60k-1L,Quarterly,Instagram,Formal,3-4x,Brand,Party,Athleisure,No,4000-7000,600-900,1300-2000,>6000,5,5,2,5,1,1,1,Always,Returns,Points,Newme,Price,Flat,Low
18–24,Female,Tier-2,South,Business,Graduate,15-30k,>6m,20+,15-30k,Quarterly,Amazon,Casual,No,Trend,Daily,Cargo,No,4000-7000,300-600,2000-3000,>6000,1,1,1,4,4,1,1,No preference,No online,Free Gift,H&M,Price,Flat,High
33–40,Male,Rural,East,Business,School,>1L,3-6m,4-6,30-60k,Monthly,Offline,Smart,Occasional,Trend,Festive,Co-ord,Maybe,500-1000,<300,1300-2000,>4000,3,1,2,4,2,2,4,No,Quality,None,Uniqlo,Recommendation,Scratch,None
18–24,Prefer not to say,Rural,Central,Freelancer,Postgraduate,60k-1L,>6m,1-3,15-30k,Weekly,Amazon,Casual,Occasional,Sustainability,Sale,Sneakers,Yes,4000-7000,1200-1500,800-1300,>6000,1,3,5,2,2,5,2,First time,No online,Birthday,Newme,Recommendation,Scratch,Neutral
50+,Prefer not to say,Tier-2,Central,Homemaker,School,>1L,<7d,13-20,15-30k,Quarterly,Brand,Fusion,3-4x,Sustainability,Festive,Graphic,Maybe,4000-7000,900-1200,1300-2000,>3000,3,4,5,3,3,2,1,No,Delivery,Early Access,Uniqlo,Price,Flat,High
25–32,Male,Tier-3,North,Unemployed,Graduate,>1L,>6m,4-6,>1L,Quarterly,Brand,Ethnic,Daily,Price,None,Sneakers,Yes,500-1000,600-900,800-1300,>1500,2,2,4,2,3,1,1,No preference,Returns,Free Gift,Roadster,Service,Bundle,Neutral
Under 18,Female,Tier-2,West,Homemaker,Postgraduate,60k-1L,1-3m,1-3,60k-1L,Weekly,Ajio,Athleisure,Daily,Brand,Party,Cargo,No,4000-7000,<300,2000-3000,>2000,2,5,1,3,1,2,1,No preference,No online,Early Access,H&M,Service,Free Shipping,High
25–32,Non-binary,Tier-3,North,Homemaker,School,NA,8-30d,13-20,30-60k,Weekly,Nykaa,Fusion,Occasional,Brand,Festive,Athleisure,Yes,4000-7000,600-900,3000-4000,>3000,3,3,5,5,5,5,2,No,Returns,Early Access,Uniqlo,None,Flat,High
33–40,Non-binary,Tier-3,Central,Business,School,30-60k,1-3m,1-3,15-30k,Weekly,Amazon,Ethnic,Occasional,Comfort,Party,Graphic,Yes,<500,900-1200,3000-4000,>2000,4,2,1,1,5,4,4,No,None,Referral,Uniqlo,Quality,Welcome,Moderate
18–24,Male,Rural,South,Freelancer,School,15-30k,8-30d,13-20,<5k,Monthly,Amazon,Fusion,No,Price,College,Athleisure,Yes,>7000,1200-1500,1300-2000,>3000,2,3,5,4,5,3,4,No preference,No online,Referral,Bonkers,None,Flat,High
18–24,Non-binary,Tier-3,North-East,Homemaker,School,15-30k,>6m,13-20,>1L,Weekly,Offline,Formal,No,Quality,College,Accessories,Yes,500-1000,600-900,500-800,>3000,5,3,1,5,1,1,2,No preference,None,Birthday,Uniqlo,Price,Flat,Neutral
41–50,Female,Tier-2,South,Homemaker,School,NA,3-6m,13-20,5-15k,Monthly,Ajio,Ethnic,3-4x,Trend,Party,Sneakers,Yes,<500,300-600,1300-2000,>3000,1,3,2,2,4,2,5,Always,Delivery,Birthday,Roadster,Trend,Scratch,High
18–24,Female,Rural,North,Student,Postgraduate,<15k,>6m,1-3,>1L,Rare,Instagram,Athleisure,Occasional,Trend,Sale,Sneakers,No,2000-4000,<300,800-1300,>1500,4,3,1,5,5,1,3,No,None,None,Uniqlo,Price,Flat,Low
41–50,Male,Metro,North-East,Student,School,NA,<7d,13-20,5-15k,Rare,Nykaa,Ethnic,Daily,Brand,Sale,Co-ord,Maybe,500-1000,1200-1500,800-1300,>2000,5,4,3,1,5,3,2,No,Returns,Referral,Zara,Fit,B2G1,Moderate
50+,Female,Metro,Central,Student,Postgraduate,<15k,>6m,4-6,60k-1L,Weekly,Ajio,Fusion,No,Price,Festive,Graphic,No,>7000,600-900,2000-3000,>4000,1,1,2,3,2,2,3,No,Returns,Birthday,H&M,Trend,Scratch,High
Under 18,Prefer not to say,Rural,South,Private,School,<15k,8-30d,20+,30-60k,Weekly,Myntra,Smart,3-4x,Quality,Party,Sneakers,Yes,4000-7000,1200-1500,1300-2000,>4000,5,3,5,1,2,4,4,First time,None,None,H&M,Fit,Welcome,Low
33–40,Male,Tier-2,Central,Homemaker,Graduate,NA,1-3m,20+,30-60k,Rare,Amazon,Fusion,3-4x,Trend,Daily,Cargo,Maybe,4000-7000,300-600,2000-3000,>6000,4,2,5,2,4,3,3,Always,Quality,Points,Local,Trend,Bundle,Neutral
41–50,Female,Metro,North-East,Private,Graduate,15-30k,3-6m,13-20,5-15k,Monthly,Ajio,Ethnic,Daily,Price,Sale,Accessories,Yes,<500,600-900,500-800,>1500,3,2,4,1,3,5,1,No preference,None,Free Gift,Zara,Recommendation,Scratch,Low
Under 18,Male,Metro,North-East,Freelancer,School,30-60k,>6m,20+,<5k,Monthly,Ajio,Ethnic,No,Quality,Sale,Cargo,No,<500,1200-1500,3000-4000,>1500,1,2,3,4,1,5,3,Always,Quality,Points,Newme,Quality,Free Shipping,Moderate
18–24,Non-binary,Tier-3,South,Unemployed,Diploma,15-30k,>6m,20+,5-15k,Weekly,Offline,Smart,Daily,Sustainability,None,Athleisure,No,2000-4000,600-900,3000-4000,>1500,5,1,4,1,5,1,3,First time,None,Free Gift,Roadster,None,Free Shipping,Neutral
18–24,Female,Tier-3,Central,Business,Graduate,15-30k,1-3m,13-20,5-15k,Weekly,Instagram,Casual,3-4x,Brand,College,Accessories,Yes,2000-4000,600-900,1300-2000,>3000,5,1,2,5,1,5,4,Always,Returns,None,None,Service,Scratch,High
Under 18,Prefer not to say,Tier-2,East,Homemaker,Postgraduate,15-30k,3-6m,13-20,30-60k,Weekly,Myntra,Smart,Occasional,Comfort,Sale,Accessories,Yes,>7000,1200-1500,2000-3000,>1500,4,2,4,3,2,2,5,First time,No online,Referral,Zara,Quality,Free Shipping,High
18–24,Female,Rural,Central,Business,School,NA,>6m,4-6,15-30k,Rare,Brand,Casual,Daily,Trend,Sale,Cargo,Maybe,4000-7000,600-900,2000-3000,>4000,4,4,2,4,1,5,3,Always,Returns,Points,Uniqlo,Trend,Scratch,Low
50+,Male,Tier-2,North-East,Unemployed,Postgraduate,NA,>6m,7-12,<5k,Quarterly,Amazon,Athleisure,3-4x,Trend,None,Sneakers,Maybe,1000-2000,300-600,500-800,>1500,4,1,4,4,2,4,4,Always,None,Early Access,Bonkers,Price,Bundle,High
50+,Male,Rural,Central,Student,Diploma,NA,8-30d,1-3,30-60k,Weekly,Offline,Ethnic,Occasional,Quality,Sale,Cargo,Yes,2000-4000,1200-1500,2000-3000,>3000,3,1,1,4,1,2,1,Always,Sizing,Points,Roadster,Quality,Flat,Neutral
Under 18,Female,Metro,North,Homemaker,School,15-30k,8-30d,13-20,>1L,Monthly,Instagram,Formal,Occasional,Comfort,None,Graphic,Maybe,4000-7000,1200-1500,800-1300,>2000,2,4,2,2,2,1,3,No,Quality,Birthday,None,Trend,Welcome,Neutral
41–50,Prefer not to say,Tier-3,East,Government,Graduate,30-60k,<7d,13-20,5-15k,Quarterly,Instagram,Formal,No,Sustainability,Party,Athleisure,Yes,2000-4000,300-600,800-1300,>1500,5,3,2,2,1,1,3,No preference,Sizing,Points,Zara,Price,Free Shipping,High
41–50,Prefer not to say,Tier-2,West,Private,Postgraduate,<15k,1-3m,20+,15-30k,Monthly,Ajio,Fusion,No,Price,Party,Accessories,Yes,500-1000,300-600,800-1300,>2000,3,1,1,5,5,5,1,Always,Returns,Referral,Zara,Service,B2G1,Low
Under 18,Prefer not to say,Tier-2,North,Private,Graduate,>1L,3-6m,4-6,<5k,Quarterly,Amazon,Smart,3-4x,Brand,College,Graphic,Yes,<500,300-600,1300-2000,>6000,5,2,1,3,5,5,2,No,Quality,Referral,H&M,Trend,B2G1,High
41–50,Male,Rural,West,Homemaker,Graduate,<15k,>6m,20+,60k-1L,Rare,Meesho,Smart,Daily,Price,Festive,Sneakers,No,4000-7000,600-900,800-1300,>3000,3,2,3,1,4,1,5,No,No online,Birthday,H&M,Fit,Welcome,None
41–50,Female,Rural,South,Unemployed,School,<15k,>6m,13-20,<5k,Quarterly,Brand,Formal,Occasional,Quality,None,Sneakers,Yes,2000-4000,600-900,800-1300,>1500,1,4,1,5,1,2,1,No,None,Free Gift,H&M,Fit,Free Shipping,High
50+,Non-binary,Tier-2,West,Student,Postgraduate,>1L,<7d,13-20,<5k,Monthly,Meesho,Casual,No,Trend,Sale,Cargo,Yes,<500,900-1200,3000-4000,>6000,2,2,4,2,3,3,1,First time,Quality,Birthday,Local,Fit,Flat,Moderate
41–50,Male,Rural,Central,Private,Diploma,15-30k,>6m,20+,5-15k,Quarterly,Meesho,Smart,No,Sustainability,Festive,Co-ord,Yes,1000-2000,600-900,1300-2000,>6000,5,5,1,5,4,1,1,Always,Quality,None,Roadster,Price,Free Shipping,High
25–32,Prefer not to say,Tier-2,West,Student,Graduate,30-60k,1-3m,13-20,5-15k,Rare,Meesho,Casual,Daily,Trend,Party,Accessories,Maybe,2000-4000,300-600,800-1300,>2000,4,2,1,3,1,4,2,No preference,Delivery,Free Gift,Uniqlo,None,Flat,None
33–40,Female,Tier-2,North-East,Freelancer,School,30-60k,<7d,7-12,60k-1L,Monthly,Instagram,Casual,No,Price,Sale,Accessories,Yes,4000-7000,900-1200,500-800,>4000,2,4,2,5,3,2,1,Always,No online,Referral,Newme,Price,Free Shipping,Moderate
18–24,Prefer not to say,Tier-2,North,Business,School,<15k,1-3m,1-3,60k-1L,Weekly,Ajio,Casual,3-4x,Sustainability,Festive,Co-ord,No,500-1000,300-600,800-1300,>4000,5,4,2,4,5,3,2,Always,Quality,Referral,Roadster,None,B2G1,Low
25–32,Non-binary,Metro,North,Unemployed,Diploma,>1L,<7d,1-3,60k-1L,Quarterly,Instagram,Casual,Daily,Brand,None,Sneakers,No,<500,<300,1300-2000,>4000,1,4,1,1,5,3,5,No preference,No online,None,H&M,Quality,Bundle,Moderate
41–50,Prefer not to say,Rural,West,Government,School,60k-1L,>6m,1-3,30-60k,Monthly,Myntra,Fusion,Occasional,Quality,None,Sneakers,Yes,<500,1200-1500,2000-3000,>4000,5,5,3,2,5,2,2,No,Returns,Free Gift,H&M,Price,Scratch,Neutral
50+,Prefer not to say,Tier-3,North,Business,Graduate,15-30k,<7d,7-12,30-60k,Quarterly,Instagram,Fusion,3-4x,Brand,Festive,Accessories,Yes,500-1000,<300,3000-4000,>3000,5,1,2,2,3,1,5,Always,No online,Points,Roadster,Trend,Welcome,None
Under 18,Non-binary,Tier-3,North-East,Business,School,<15k,8-30d,13-20,5-15k,Rare,Amazon,Formal,Occasional,Quality,None,Athleisure,Yes,4000-7000,300-600,3000-4000,>1500,5,3,4,3,2,3,5,No,Sizing,Points,Uniqlo,Fit,Flat,Neutral
41–50,Female,Rural,North,Freelancer,Postgraduate,30-60k,3-6m,20+,5-15k,Monthly,Instagram,Fusion,Occasional,Brand,Daily,Accessories,No,>7000,600-900,1300-2000,>1500,2,2,4,3,1,4,5,No,Sizing,Birthday,Uniqlo,None,Bundle,Neutral
50+,Male,Tier-2,West,Private,Postgraduate,NA,>6m,4-6,60k-1L,Weekly,Instagram,Athleisure,No,Price,Party,Sneakers,Maybe,1000-2000,1200-1500,800-1300,>3000,5,1,1,3,4,2,4,No,No online,Referral,Zara,Service,Flat,Moderate
33–40,Female,Tier-3,East,Government,Graduate,NA,3-6m,13-20,30-60k,Weekly,Meesho,Smart,3-4x,Comfort,College,Sneakers,Maybe,>7000,600-900,500-800,>2000,4,4,1,2,4,5,5,No preference,None,Points,Zara,Recommendation,Welcome,Moderate
41–50,Non-binary,Tier-3,East,Private,Postgraduate,>1L,>6m,7-12,15-30k,Quarterly,Offline,Athleisure,3-4x,Sustainability,College,Athleisure,Yes,500-1000,600-900,800-1300,>1500,3,1,3,4,5,1,2,No,Delivery,Referral,H&M,Fit,Bundle,Neutral
Under 18,Prefer not to say,Rural,South,Homemaker,Diploma,>1L,3-6m,7-12,30-60k,Rare,Myntra,Fusion,Daily,Quality,Daily,Graphic,Maybe,1000-2000,1200-1500,800-1300,>6000,4,1,1,1,2,2,4,Always,Sizing,Birthday,Local,Trend,Bundle,Low
50+,Female,Tier-3,North,Business,School,<15k,8-30d,1-3,5-15k,Rare,Brand,Smart,3-4x,Price,Festive,Graphic,No,4000-7000,1200-1500,500-800,>1500,1,5,5,3,1,4,1,No,Sizing,Early Access,H&M,Recommendation,Scratch,High
50+,Male,Tier-2,West,Homemaker,Graduate,60k-1L,3-6m,13-20,30-60k,Quarterly,Brand,Smart,Daily,Trend,None,Athleisure,Yes,2000-4000,<300,3000-4000,>3000,2,4,5,2,1,3,1,First time,Quality,Referral,Newme,Service,Scratch,High
50+,Non-binary,Rural,North,Student,Diploma,30-60k,<7d,1-3,5-15k,Monthly,Amazon,Casual,3-4x,Trend,Daily,Athleisure,Maybe,2000-4000,300-600,800-1300,>2000,3,4,1,4,4,1,3,First time,No online,Early Access,Uniqlo,Quality,Welcome,None
33–40,Female,Tier-2,Central,Business,School,<15k,3-6m,4-6,60k-1L,Monthly,Brand,Formal,Occasional,Brand,Daily,Graphic,Yes,>7000,600-900,2000-3000,>1500,2,2,5,3,4,1,5,First time,Returns,Referral,Zara,Price,Welcome,Moderate
41–50,Male,Tier-3,North-East,Private,Diploma,60k-1L,>6m,1-3,60k-1L,Quarterly,Nykaa,Casual,Daily,Trend,None,Graphic,Yes,4000-7000,300-600,2000-3000,>3000,2,2,4,3,4,2,3,No,No online,Free Gift,Newme,Trend,Flat,High
33–40,Non-binary,Tier-3,North,Business,Graduate,>1L,1-3m,4-6,60k-1L,Monthly,Offline,Casual,3-4x,Comfort,Party,Graphic,No,1000-2000,300-600,1300-2000,>6000,5,2,1,1,1,2,5,Always,No online,None,None,Recommendation,Bundle,Low
18–24,Male,Tier-2,North,Student,Graduate,NA,3-6m,7-12,15-30k,Monthly,Amazon,Athleisure,Daily,Quality,None,Graphic,No,>7000,900-1200,1300-2000,>4000,4,2,4,1,4,4,5,Always,Returns,Early Access,H&M,Price,Welcome,None
18–24,Non-binary,Metro,East,Freelancer,Diploma,15-30k,3-6m,1-3,15-30k,Monthly,Instagram,Fusion,No,Brand,None,Accessories,Maybe,500-1000,<300,500-800,>6000,3,1,4,5,1,5,2,No,None,Free Gift,None,None,Scratch,Moderate
41–50,Prefer not to say,Tier-3,North-East,Homemaker,School,NA,3-6m,1-3,5-15k,Quarterly,Nykaa,Athleisure,No,Quality,Sale,Accessories,No,>7000,600-900,500-800,>6000,5,1,5,3,5,2,2,No,Returns,None,Uniqlo,Quality,Flat,High
33–40,Female,Metro,West,Homemaker,Postgraduate,30-60k,>6m,20+,<5k,Weekly,Brand,Fusion,Daily,Quality,Festive,Cargo,Yes,4000-7000,1200-1500,1300-2000,>2000,3,2,3,5,2,2,1,No preference,Sizing,Free Gift,None,Service,Free Shipping,Neutral
Under 18,Male,Tier-3,North,Private,Postgraduate,30-60k,3-6m,7-12,>1L,Rare,Instagram,Athleisure,Daily,Price,College,Athleisure,No,4000-7000,1200-1500,800-1300,>1500,4,2,4,2,4,2,4,No,Quality,Birthday,H&M,Recommendation,Scratch,Low
50+,Non-binary,Metro,East,Business,Diploma,NA,>6m,20+,15-30k,Weekly,Amazon,Smart,Occasional,Trend,College,Co-ord,Maybe,2000-4000,300-600,3000-4000,>4000,5,2,5,1,1,4,1,First time,Returns,Birthday,Newme,Trend,Welcome,Low
50+,Male,Metro,South,Private,Graduate,NA,>6m,4-6,5-15k,Monthly,Meesho,Fusion,3-4x,Sustainability,Daily,Cargo,Maybe,500-1000,<300,2000-3000,>3000,3,3,3,4,5,3,5,No preference,Delivery,Points,Newme,None,Scratch,Moderate
41–50,Male,Metro,North-East,Freelancer,School,60k-1L,1-3m,4-6,30-60k,Quarterly,Nykaa,Fusion,No,Quality,Daily,Co-ord,Maybe,2000-4000,<300,500-800,>4000,5,2,5,3,3,5,4,No preference,Delivery,Early Access,H&M,Service,Scratch,Low
18–24,Female,Tier-2,East,Business,School,<15k,<7d,7-12,60k-1L,Rare,Brand,Athleisure,No,Comfort,Daily,Co-ord,No,1000-2000,600-900,1300-2000,>1500,2,3,5,3,5,4,3,No,Delivery,Points,Bonkers,Recommendation,Bundle,Moderate
18–24,Prefer not to say,Metro,East,Business,Graduate,>1L,>6m,4-6,60k-1L,Monthly,Ajio,Ethnic,3-4x,Comfort,Festive,Sneakers,No,1000-2000,600-900,2000-3000,>2000,1,2,1,5,2,2,5,No,Returns,Early Access,H&M,Recommendation,Free Shipping,Low
50+,Male,Metro,East,Private,Postgraduate,60k-1L,8-30d,7-12,60k-1L,Rare,Ajio,Smart,No,Sustainability,Daily,Athleisure,No,<500,300-600,500-800,>1500,3,4,2,1,5,3,2,No preference,Quality,Birthday,Zara,Trend,Welcome,High
41–50,Non-binary,Metro,North,Private,School,15-30k,3-6m,4-6,5-15k,Rare,Myntra,Smart,No,Trend,Daily,Accessories,No,4000-7000,300-600,500-800,>3000,4,5,3,5,4,2,1,No preference,Returns,Birthday,Uniqlo,Quality,B2G1,Moderate
33–40,Non-binary,Tier-3,North,Student,Diploma,NA,8-30d,13-20,60k-1L,Weekly,Ajio,Ethnic,Daily,Trend,Sale,Cargo,No,500-1000,300-600,800-1300,>4000,3,1,5,3,4,4,1,No preference,Sizing,None,None,Quality,Bundle,Low
18–24,Prefer not to say,Metro,South,Unemployed,Postgraduate,15-30k,3-6m,1-3,15-30k,Monthly,Meesho,Athleisure,No,Brand,Festive,Athleisure,Maybe,500-1000,900-1200,500-800,>6000,1,4,4,1,3,1,3,No preference,Returns,None,Uniqlo,Quality,Scratch,High
33–40,Non-binary,Tier-3,Central,Unemployed,Diploma,15-30k,1-3m,13-20,30-60k,Rare,Nykaa,Athleisure,No,Brand,Party,Graphic,Maybe,2000-4000,<300,3000-4000,>1500,3,5,4,3,1,2,1,No preference,No online,Birthday,Local,Price,Bundle,High
18–24,Prefer not to say,Metro,Central,Freelancer,Postgraduate,60k-1L,>6m,7-12,60k-1L,Weekly,Meesho,Smart,No,Brand,Party,Athleisure,No,>7000,300-600,500-800,>2000,3,3,2,1,5,3,1,Always,Delivery,Early Access,H&M,None,Flat,High
18–24,Non-binary,Metro,Central,Unemployed,Graduate,>1L,<7d,7-12,5-15k,Quarterly,Offline,Athleisure,3-4x,Trend,None,Co-ord,Yes,>7000,<300,3000-4000,>2000,3,1,3,3,3,5,4,No preference,Delivery,Birthday,Roadster,Fit,B2G1,Moderate
25–32,Female,Tier-2,North-East,Student,Diploma,30-60k,>6m,13-20,30-60k,Rare,Ajio,Formal,Occasional,Quality,Sale,Accessories,Maybe,2000-4000,1200-1500,800-1300,>4000,4,3,1,4,4,1,5,No preference,No online,Points,H&M,Service,Welcome,Moderate
18–24,Male,Tier-3,North-East,Homemaker,Diploma,<15k,3-6m,1-3,60k-1L,Monthly,Amazon,Formal,Daily,Price,College,Graphic,Yes,>7000,1200-1500,3000-4000,>6000,1,3,3,5,1,2,4,Always,Quality,Free Gift,None,Trend,B2G1,Low
Under 18,Female,Metro,South,Business,Graduate,30-60k,<7d,1-3,<5k,Quarterly,Amazon,Ethnic,Occasional,Sustainability,None,Athleisure,Yes,500-1000,<300,2000-3000,>3000,1,1,4,1,1,2,4,First time,None,None,Bonkers,Service,Scratch,Neutral
41–50,Male,Tier-3,North-East,Private,Diploma,>1L,>6m,20+,60k-1L,Rare,Amazon,Fusion,No,Sustainability,Party,Athleisure,Maybe,2000-4000,1200-1500,500-800,>6000,4,5,4,5,2,3,1,First time,Delivery,Early Access,Zara,Fit,Welcome,Neutral
41–50,Male,Tier-3,Central,Business,Postgraduate,30-60k,<7d,4-6,>1L,Rare,Ajio,Formal,No,Sustainability,Festive,Accessories,Yes,>7000,1200-1500,1300-2000,>4000,3,1,1,1,4,1,5,First time,Delivery,Free Gift,None,Price,Flat,None
33–40,Male,Rural,Central,Business,School,NA,3-6m,20+,15-30k,Monthly,Instagram,Athleisure,No,Brand,College,Co-ord,Yes,<500,1200-1500,1300-2000,>6000,3,2,1,1,1,1,1,First time,None,Points,H&M,Price,Scratch,Neutral
18–24,Female,Tier-2,East,Government,School,NA,1-3m,1-3,30-60k,Rare,Meesho,Ethnic,Occasional,Price,Daily,Graphic,Maybe,4000-7000,600-900,3000-4000,>4000,1,3,4,1,2,1,1,No,Returns,Referral,None,Fit,Scratch,Neutral
Under 18,Male,Tier-2,North-East,Homemaker,Graduate,60k-1L,1-3m,13-20,15-30k,Monthly,Ajio,Formal,3-4x,Comfort,Festive,Co-ord,Maybe,<500,600-900,800-1300,>6000,3,2,5,3,2,2,4,No,Delivery,None,None,Recommendation,Free Shipping,Low
33–40,Female,Tier-2,North,Government,Postgraduate,15-30k,>6m,4-6,<5k,Monthly,Myntra,Casual,3-4x,Trend,College,Accessories,No,>7000,<300,3000-4000,>1500,2,1,5,2,4,1,2,No preference,Quality,Birthday,Newme,Trend,B2G1,Moderate
25–32,Prefer not to say,Rural,North,Unemployed,Diploma,>1L,8-30d,13-20,<5k,Monthly,Offline,Ethnic,Daily,Comfort,Party,Athleisure,Maybe,1000-2000,<300,3000-4000,>2000,3,1,1,3,1,2,2,No preference,Returns,None,Local,Fit,Bundle,Neutral
33–40,Non-binary,Rural,East,Business,Diploma,>1L,3-6m,20+,>1L,Monthly,Instagram,Smart,Occasional,Brand,None,Cargo,Yes,500-1000,900-1200,3000-4000,>4000,3,5,5,2,1,2,4,First time,Returns,None,Zara,Price,Welcome,None
33–40,Non-binary,Tier-2,East,Private,School,30-60k,>6m,7-12,15-30k,Rare,Offline,Formal,3-4x,Quality,Daily,Cargo,Maybe,<500,600-900,2000-3000,>4000,5,3,1,3,5,1,4,First time,Delivery,None,None,Recommendation,B2G1,Low
18–24,Male,Rural,East,Business,Diploma,60k-1L,>6m,13-20,30-60k,Quarterly,Instagram,Smart,Daily,Brand,Daily,Sneakers,No,<500,<300,2000-3000,>2000,1,4,3,2,1,4,1,Always,Returns,Points,Zara,Price,Welcome,High
25–32,Female,Rural,North,Homemaker,School,30-60k,1-3m,20+,<5k,Quarterly,Instagram,Ethnic,No,Price,Festive,Cargo,Maybe,2000-4000,600-900,3000-4000,>3000,1,1,3,1,2,5,5,Always,Returns,Referral,Bonkers,Recommendation,B2G1,High
33–40,Non-binary,Rural,Central,Government,Graduate,30-60k,<7d,20+,<5k,Weekly,Brand,Formal,No,Brand,None,Accessories,Yes,2000-4000,900-1200,800-1300,>4000,2,4,3,1,3,5,1,Always,Quality,Early Access,None,Service,Bundle,None
Under 18,Female,Tier-2,East,Private,Diploma,>1L,3-6m,20+,60k-1L,Monthly,Myntra,Smart,Daily,Sustainability,Daily,Accessories,Maybe,2000-4000,<300,500-800,>1500,2,3,1,2,4,4,1,First time,Returns,Points,Uniqlo,Trend,Welcome,Moderate
Under 18,Female,Tier-2,South,Business,Postgraduate,30-60k,<7d,7-12,>1L,Rare,Nykaa,Fusion,3-4x,Quality,College,Accessories,Yes,>7000,<300,1300-2000,>6000,2,2,1,2,3,1,3,Always,No online,Early Access,Newme,Trend,Welcome,High
41–50,Male,Tier-2,East,Freelancer,Diploma,15-30k,3-6m,7-12,5-15k,Rare,Amazon,Fusion,Occasional,Quality,Sale,Graphic,Maybe,1000-2000,<300,2000-3000,>1500,1,3,5,5,1,2,1,No preference,Delivery,Free Gift,Roadster,Price,Free Shipping,Moderate
